product_id,url
37,https://images-na.ssl-images-amazon.com/images/I/31e9b4-7uBL.jpg
38,https://images-na.ssl-images-amazon.com/images/I/61KhwxXehcL._SY679_.jpg
38,https://images-na.ssl-images-amazon.com/images/I/81MlIwYkPrL._SX522_.jpg
39,https://images-na.ssl-images-amazon.com/images/I/71MvnqmcaML._SX522_.jpg
39,https://images-na.ssl-images-amazon.com/images/I/81VqXgfVm-L._SX522_.jpg
40,https://images-na.ssl-images-amazon.com/images/I/31k21jmMLeL.jpg
40,https://images-na.ssl-images-amazon.com/images/I/310BEmWBbWL.jpg
41,https://images-na.ssl-images-amazon.com/images/I/717OwNojEnL._SY679_.jpg
41,https://images-na.ssl-images-amazon.com/images/I/51wpja3Q2cL.jpg
42,https://images-na.ssl-images-amazon.com/images/I/812rIifyj0L._SX522_.jpg
42,https://images-na.ssl-images-amazon.com/images/I/913lih-GUuL._SX522_.jpg
43,https://images-na.ssl-images-amazon.com/images/I/91-v8QaXdsL._SX522_.jpg
43,https://images-na.ssl-images-amazon.com/images/I/31yHqfxPLoL.jpg
44,https://images-na.ssl-images-amazon.com/images/I/911oIPjn42L._SX522_.jpg
44,https://images-na.ssl-images-amazon.com/images/I/81s6iPH-3YL._SX522_.jpg
45,https://images-na.ssl-images-amazon.com/images/I/81O2bAqN9HL._SX522_.jpg
45,https://images-na.ssl-images-amazon.com/images/I/71sl4UgjVrL._SX522_.jpg
46,https://images-na.ssl-images-amazon.com/images/I/810wMlMEeQL._SX522_.jpg
46,https://images-na.ssl-images-amazon.com/images/I/51W-76kGh0L.jpg
47,https://images-na.ssl-images-amazon.com/images/I/81x8uQPuKnL._SY679_.jpg
47,https://images-na.ssl-images-amazon.com/images/I/31MNKlL3vaL.jpg
48,https://images-na.ssl-images-amazon.com/images/I/81Va0IOV0mL._SX522_.jpg
48,https://images-na.ssl-images-amazon.com/images/I/31jkSd5jmIL.jpg
49,https://images-na.ssl-images-amazon.com/images/I/8179PjHMYQL._SL1500_.jpg
49,https://images-na.ssl-images-amazon.com/images/I/31giFPSfAhL.jpg
50,https://images-na.ssl-images-amazon.com/images/I/61%2Bi5VTQ1QL.jpg
